Card,Class,Rarity,Times Seen,Times Picked,Pick Rate,Wins,Win Rate
Anger,ironclad,common,106,12,11.32,0,0.00
Armaments,ironclad,common,111,31,27.93,10,32.26
Blood Wall,ironclad,common,115,9,7.83,2,22.22
Bloodletting,ironclad,common,105,47,44.76,14,29.79
Body Slam,ironclad,common,94,12,12.77,6,50.00
Breakthrough,ironclad,common,93,4,4.30,0,0.00
Cinder,ironclad,common,78,9,11.54,1,11.11
Havoc,ironclad,common,101,3,2.97,3,100.00
Headbutt,ironclad,common,102,5,4.90,3,60.00
Iron Wave,ironclad,common,91,9,9.89,2,22.22
Molten Fist,ironclad,common,91,6,6.59,2,33.33
Perfected Strike,ironclad,common,107,3,2.80,0,0.00
Pommel Strike,ironclad,common,92,64,69.57,26,40.62
Setup Strike,ironclad,common,96,5,5.21,0,0.00
Shrug It Off,ironclad,common,101,20,19.80,5,25.00
Sword Boomerang,ironclad,common,109,2,1.83,2,100.00
Thunderclap,ironclad,common,109,13,11.93,5,38.46
Tremble,ironclad,common,109,4,3.67,2,50.00
True Grit,ironclad,common,110,33,30.00,11,33.33
Twin Strike,ironclad,common,86,4,4.65,2,50.00
Ashen Strike,ironclad,uncommon,49,23,46.94,10,43.48
Battle Trance,ironclad,uncommon,35,15,42.86,4,26.67
Bludgeon,ironclad,uncommon,49,12,24.49,2,16.67
Bully,ironclad,uncommon,37,3,8.11,0,0.00
Burning Pact,ironclad,uncommon,33,27,81.82,10,37.04
Colossus,ironclad,uncommon,16,3,18.75,2,66.67
Demonic Shield,ironclad,uncommon,9,4,44.44,3,75.00
Dismantle,ironclad,uncommon,54,9,16.67,5,55.56
Dominate,ironclad,uncommon,55,8,14.55,4,50.00
Drum Of Battle,ironclad,uncommon,35,0,0.00,0,0.00
Evil Eye,ironclad,uncommon,37,4,10.81,2,50.00
Expect A Fight,ironclad,uncommon,32,20,62.50,8,40.00
Feel No Pain,ironclad,uncommon,51,6,11.76,3,50.00
Fight Me,ironclad,uncommon,35,0,0.00,0,0.00
Flame Barrier,ironclad,uncommon,37,11,29.73,7,63.64
Forgotten Ritual,ironclad,uncommon,45,26,57.78,7,26.92
Hemokinesis,ironclad,uncommon,42,2,4.76,0,0.00
Howl From Beyond,ironclad,uncommon,31,9,29.03,3,33.33
Infernal Blade,ironclad,uncommon,28,5,17.86,2,40.00
Inferno,ironclad,uncommon,24,8,33.33,1,12.50
Inflame,ironclad,uncommon,39,9,23.08,4,44.44
Juggling,ironclad,uncommon,46,1,2.17,1,100.00
Pillage,ironclad,uncommon,31,19,61.29,7,36.84
Rage,ironclad,uncommon,39,3,7.69,1,33.33
Rampage,ironclad,uncommon,49,0,0.00,0,0.00
Rupture,ironclad,uncommon,51,2,3.92,1,50.00
Second Wind,ironclad,uncommon,39,7,17.95,3,42.86
Spite,ironclad,uncommon,35,18,51.43,6,33.33
Stampede,ironclad,uncommon,47,3,6.38,2,66.67
Stomp,ironclad,uncommon,36,12,33.33,6,50.00
Stone Armor,ironclad,uncommon,58,3,5.17,2,66.67
Taunt,ironclad,uncommon,40,25,62.50,7,28.00
Unrelenting,ironclad,uncommon,33,6,18.18,0,0.00
Uppercut,ironclad,uncommon,35,19,54.29,8,42.11
Vicious,ironclad,uncommon,34,17,50.00,6,35.29
Whirlwind,ironclad,uncommon,37,1,2.70,0,0.00
Aggression,ironclad,rare,13,1,7.69,1,100.00
Barricade,ironclad,rare,14,2,14.29,1,50.00
Brand,ironclad,rare,18,15,83.33,7,46.67
Cascade,ironclad,rare,16,3,18.75,3,100.00
Conflagration,ironclad,rare,17,5,29.41,0,0.00
Crimson Mantle,ironclad,rare,18,6,33.33,2,33.33
Cruelty,ironclad,rare,14,1,7.14,1,100.00
Dark Embrace,ironclad,rare,16,10,62.50,8,80.00
Demon Form,ironclad,rare,25,9,36.00,5,55.56
Feed,ironclad,rare,20,2,10.00,0,0.00
Fiend Fire,ironclad,rare,21,9,42.86,2,22.22
Hellraiser,ironclad,rare,12,5,41.67,3,60.00
Impervious,ironclad,rare,21,8,38.10,4,50.00
Juggernaut,ironclad,rare,21,4,19.05,2,50.00
Mangle,ironclad,rare,24,7,29.17,3,42.86
Not Yet,ironclad,rare,2,1,50.00,1,100.00
Offering,ironclad,rare,15,10,66.67,5,50.00
One Two Punch,ironclad,rare,16,3,18.75,2,66.67
Pacts End,ironclad,rare,16,8,50.00,2,25.00
Primal Force,ironclad,rare,17,2,11.76,1,50.00
Pyre,ironclad,rare,17,4,23.53,4,100.00
Stoke,ironclad,rare,15,6,40.00,1,16.67
Tank,ironclad,rare,3,0,0.00,0,0.00
Tear Asunder,ironclad,rare,15,10,66.67,3,30.00
Thrash,ironclad,rare,26,3,11.54,1,33.33
Unmovable,ironclad,rare,16,3,18.75,3,100.00
Anticipate,silent,common,129,9,6.98,7,77.78
Backflip,silent,common,149,65,43.62,36,55.38
Blade Dance,silent,common,136,36,26.47,16,44.44
Cloak And Dagger,silent,common,161,29,18.01,18,62.07
Dagger Spray,silent,common,147,9,6.12,4,44.44
Dagger Throw,silent,common,137,26,18.98,15,57.69
Deadly Poison,silent,common,137,12,8.76,5,41.67
Deflect,silent,common,126,24,19.05,11,45.83
Dodge And Roll,silent,common,153,10,6.54,3,30.00
Flick Flack,silent,common,119,26,21.85,8,30.77
Follow Through,silent,common,66,15,22.73,7,46.67
Leading Strike,silent,common,145,29,20.00,21,72.41
Piercing Wail,silent,common,137,55,40.15,33,60.00
Poisoned Stab,silent,common,153,18,11.76,9,50.00
Prepared,silent,common,141,55,39.01,37,67.27
Ricochet,silent,common,140,22,15.71,9,40.91
Slice,silent,common,135,4,2.96,2,50.00
Snakebite,silent,common,144,6,4.17,5,83.33
Sucker Punch,silent,common,124,9,7.26,3,33.33
Untouchable,silent,common,140,33,23.57,17,51.52
Accuracy,silent,uncommon,73,18,24.66,13,72.22
Acrobatics,silent,uncommon,117,67,57.26,37,55.22
Backstab,silent,uncommon,46,13,28.26,8,61.54
Blur,silent,uncommon,52,24,46.15,17,70.83
Bouncing Flask,silent,uncommon,45,9,20.00,4,44.44
Bubble Bubble,silent,uncommon,58,7,12.07,4,57.14
Calculated Gamble,silent,uncommon,62,37,59.68,23,62.16
Dash,silent,uncommon,63,12,19.05,6,50.00
Escape Plan,silent,uncommon,55,38,69.09,25,65.79
Expertise,silent,uncommon,45,3,6.67,3,100.00
Expose,silent,uncommon,49,22,44.90,9,40.91
Finisher,silent,uncommon,50,12,24.00,7,58.33
Flanking,silent,uncommon,40,21,52.50,15,71.43
Flechettes,silent,uncommon,54,16,29.63,9,56.25
Footwork,silent,uncommon,70,26,37.14,20,76.92
Hand Trick,silent,uncommon,40,14,35.00,7,50.00
Haze,silent,uncommon,57,15,26.32,7,46.67
Hidden Daggers,silent,uncommon,42,13,30.95,7,53.85
Infinite Blades,silent,uncommon,59,16,27.12,11,68.75
Leg Sweep,silent,uncommon,53,18,33.96,9,50.00
Memento Mori,silent,uncommon,48,8,16.67,3,37.50
Mirage,silent,uncommon,51,5,9.80,4,80.00
Noxious Fumes,silent,uncommon,49,18,36.73,8,44.44
Outbreak,silent,uncommon,58,7,12.07,4,57.14
Phantom Blades,silent,uncommon,43,10,23.26,6,60.00
Pinpoint,silent,uncommon,49,16,32.65,9,56.25
Pounce,silent,uncommon,59,6,10.17,5,83.33
Precise Cut,silent,uncommon,42,9,21.43,1,11.11
Predator,silent,uncommon,42,9,21.43,3,33.33
Reflex,silent,uncommon,38,18,47.37,12,66.67
Skewer,silent,uncommon,41,4,9.76,0,0.00
Speedster,silent,uncommon,60,14,23.33,8,57.14
Strangle,silent,uncommon,38,8,21.05,3,37.50
Tactician,silent,uncommon,46,20,43.48,7,35.00
Up My Sleeve,silent,uncommon,52,16,30.77,8,50.00
Well Laid Plans,silent,uncommon,29,7,24.14,4,57.14
Abrasive,silent,rare,28,16,57.14,10,62.50
Accelerant,silent,rare,25,6,24.00,4,66.67
Adrenaline,silent,rare,24,17,70.83,10,58.82
Afterimage,silent,rare,25,18,72.00,11,61.11
Assassinate,silent,rare,21,9,42.86,5,55.56
Blade Of Ink,silent,rare,18,6,33.33,2,33.33
Bullet Time,silent,rare,25,3,12.00,1,33.33
Burst,silent,rare,31,18,58.06,14,77.78
Corrosive Wave,silent,rare,34,15,44.12,11,73.33
Echoing Slash,silent,rare,25,4,16.00,3,75.00
Envenom,silent,rare,35,15,42.86,9,60.00
Fan Of Knives,silent,rare,32,13,40.62,10,76.92
Grand Finale,silent,rare,30,1,3.33,0,0.00
Knife Trap,silent,rare,26,11,42.31,9,81.82
Malaise,silent,rare,18,2,11.11,2,100.00
Master Planner,silent,rare,26,9,34.62,7,77.78
Murder,silent,rare,20,2,10.00,1,50.00
Nightmare,silent,rare,26,4,15.38,3,75.00
Serpent Form,silent,rare,18,7,38.89,7,100.00
Shadow Step,silent,rare,28,13,46.43,5,38.46
Shadowmeld,silent,rare,19,3,15.79,2,66.67
Sneaky,silent,rare,16,8,50.00,5,62.50
Storm Of Steel,silent,rare,31,5,16.13,5,100.00
The Hunt,silent,rare,21,3,14.29,3,100.00
Tools Of The Trade,silent,rare,26,11,42.31,7,63.64
Tracking,silent,rare,26,6,23.08,4,66.67
Astral Pulse,regent,common,432,107,24.77,28,26.17
Begone,regent,common,397,127,31.99,32,25.20
Celestial Might,regent,common,422,9,2.13,1,11.11
Cloak Of Stars,regent,common,422,94,22.27,23,24.47
Collision Course,regent,common,495,27,5.45,13,48.15
Cosmic Indifference,regent,common,407,75,18.43,27,36.00
